dil,url_stranky,nazev_videa,youtube_id,youtube_url
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-2/,"Geometrie pro 3. ročník, strana 2, cvičení 4",_wkbTXpnH_4,https://www.youtube.com/watch?v=_wkbTXpnH_4
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-3/,"Geometrie pro 3. ročník, strana 3, úvod",KLJLsIAOf4Y,https://www.youtube.com/watch?v=KLJLsIAOf4Y
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-3/,"Geometrie pro 3. ročník, strana 3, cvičení  1",r5qvVA0izng,https://www.youtube.com/watch?v=r5qvVA0izng
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-3/,"Geometrie pro 3. ročník, strana 3, cvičení  2",c28PMZnztks,https://www.youtube.com/watch?v=c28PMZnztks
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-3/,"Geometrie pro 3. ročník, strana 3, cvičení  3",d6FerIZKwMc,https://www.youtube.com/watch?v=d6FerIZKwMc
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-4/,"Geometrie pro 3. ročník, strana 4, úvod",p1Q9vsqlA8M,https://www.youtube.com/watch?v=p1Q9vsqlA8M
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-4/,"Geometrie pro 3. ročník, strana 4, cvičení 1",NqrUDTrZtFs,https://www.youtube.com/watch?v=NqrUDTrZtFs
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-4/,"Geometrie pro 3. ročník, strana 4, cvičení 2",LLyoy2gmQbc,https://www.youtube.com/watch?v=LLyoy2gmQbc
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-4/,"Geometrie pro 3. ročník, strana 4, cvičení 3",h0pnB7XQs98,https://www.youtube.com/watch?v=h0pnB7XQs98
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-5/,"Geometrie pro 3. ročník, strana 5, úvod 1",IhPygmSUxrQ,https://www.youtube.com/watch?v=IhPygmSUxrQ
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-5/,"Geometrie pro 3. ročník, strana 5, úvod 2",6g5uxQTJDaI,https://www.youtube.com/watch?v=6g5uxQTJDaI
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-5/,"Geometrie pro 3. ročník, strana 5, cvičení 1",GEYciKu8YBU,https://www.youtube.com/watch?v=GEYciKu8YBU
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-5/,"Geometrie pro 3. ročník, strana 5, cvičení 2",eUaHKqOI06k,https://www.youtube.com/watch?v=eUaHKqOI06k
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-5/,"Geometrie pro 3. ročník, strana 5, cvičení 3A",JX_N-r4x6bU,https://www.youtube.com/watch?v=JX_N-r4x6bU
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-5/,"Geometrie pro 3. ročník, strana 5, cvičení 3B",TIER6Y2bG54,https://www.youtube.com/watch?v=TIER6Y2bG54
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-5/,"Geometrie pro 3. ročník, strana 5, cvičení 3C",3tiAN52x3es,https://www.youtube.com/watch?v=3tiAN52x3es
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-6/,"Geometrie pro 3. ročník, strana 6, úvod",h4XkTyUjxVE,https://www.youtube.com/watch?v=h4XkTyUjxVE
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-6/,"Geometrie pro 3. ročník, strana 6, cvičení 1",Q4UwQ3NHO_w,https://www.youtube.com/watch?v=Q4UwQ3NHO_w
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-6/,"Geometrie pro 3. ročník, strana 6, cvičení 2",Uzr3MKH3TtI,https://www.youtube.com/watch?v=Uzr3MKH3TtI
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-6/,"Geometrie pro 3. ročník, strana 6, cvičení 3",V6ZDH4HgIok,https://www.youtube.com/watch?v=V6ZDH4HgIok
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-7/,"Geometrie pro 3. ročník, strana 7, úvod",oqtvKGpTxYA,https://www.youtube.com/watch?v=oqtvKGpTxYA
Geometrie pro 3. ročník,https://www.matyskova-matematika.cz/geometrie-3/video/str-7/,"Geometrie pro 3. ročník, strana 7, cvičení 1",ggXIh6k5od4,https://www.youtube.com/watch?v=ggXIh6k5od4
